"Created on","2026-06-07 14:11:13"
"Created with","Scrutiny V0.12.1"
"Device ID","d6fc71528a231663b87e7b30bcac7d95"
"Firmware ID","d6fc71528a231663b87e7b30bcac7d95"
"Project name","NanoGaN-SW V0.1"

"","","var:/global/fDcVoltage","var:/global/uDTC/uDTC[0]","var:/global/uDTC/uDTC[1]","var:/global/uDTC/uDTC[2]","var:/global/fCurrent/fCurrent[0]","var:/global/fCurrent/fCurrent[1]","var:/global/fCurrent/fCurrent[2]",""
"Datetime","Time [s]","fDcVoltage","uDTC[0]","uDTC[1]","uDTC[2]","fCurrent[0]","fCurrent[1]","fCurrent[2]","New Values"
"2026-06-07 14:10:49",0.00105,12.455696105957031,1374.0,1492.0,1255.0,-0.0,0.76171875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00106,12.455696105957031,1374.0,1492.0,1255.0,0.01953125,0.78125,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00107,12.47088623046875,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00108,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.78125,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00109,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.72265625,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.0011,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.78125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00111,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00112,12.440505981445312,1374.0,1492.0,1255.0,-0.0,0.7421875,-0.78125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00113,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.76171875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00114,12.440505981445312,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00115,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.76171875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00116,12.47088623046875,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00117,12.47088623046875,1374.0,1492.0,1255.0,-0.01953125,0.78125,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00118,12.486076354980469,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00119,12.47088623046875,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.0012,12.47088623046875,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00121,12.486076354980469,1374.0,1492.0,1255.0,-0.01953125,0.703125,-0.703125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00122,12.486076354980469,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00123,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.72265625,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00124,12.455696105957031,1374.0,1492.0,1255.0,-0.0,0.72265625,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00125,12.47088623046875,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00126,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00127,12.42531681060791,1374.0,1492.0,1255.0,-0.0390625,0.76171875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00128,12.486076354980469,1374.0,1492.0,1255.0,-0.0390625,0.76171875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00129,12.455696105957031,1374.0,1492.0,1255.0,-0.0,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.0013,12.47088623046875,1374.0,1492.0,1255.0,-0.0,0.72265625,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00131,12.47088623046875,1374.0,1492.0,1255.0,0.01953125,0.76171875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00132,12.486076354980469,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00133,12.486076354980469,1374.0,1492.0,1255.0,-0.0,0.7421875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00134,12.486076354980469,1374.0,1492.0,1255.0,-0.078125,0.76171875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00135,12.486076354980469,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00136,12.486076354980469,1374.0,1492.0,1255.0,-0.0390625,0.76171875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00137,12.486076354980469,1374.0,1492.0,1255.0,-0.0390625,0.76171875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00138,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00139,12.486076354980469,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.0014,12.486076354980469,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00141,12.455696105957031,1374.0,1492.0,1255.0,-0.05859375,0.76171875,-0.703125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00142,12.455696105957031,1374.0,1492.0,1255.0,-0.05859375,0.78125,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00143,12.486076354980469,1374.0,1492.0,1255.0,-0.0390625,0.76171875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00144,12.47088623046875,1374.0,1492.0,1255.0,-0.05859375,0.76171875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00145,12.455696105957031,1374.0,1492.0,1255.0,-0.05859375,0.76171875,-0.703125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00146,12.47088623046875,1374.0,1492.0,1255.0,-0.078125,0.76171875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00147,12.47088623046875,1374.0,1492.0,1255.0,-0.078125,0.78125,-0.703125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00148,12.47088623046875,1374.0,1492.0,1255.0,-0.09765625,0.78125,-0.703125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00149,12.47088623046875,1374.0,1492.0,1255.0,-0.05859375,0.7421875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.0015,12.486076354980469,1374.0,1492.0,1255.0,-0.078125,0.76171875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00151,12.486076354980469,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00152,12.47088623046875,1374.0,1492.0,1255.0,-0.078125,0.72265625,-0.703125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00153,12.47088623046875,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00154,12.486076354980469,1374.0,1492.0,1255.0,-0.0390625,0.72265625,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00155,12.455696105957031,1374.0,1492.0,1255.0,-0.05859375,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00156,12.47088623046875,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00157,12.486076354980469,1374.0,1492.0,1255.0,-0.01953125,0.72265625,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00158,12.47088623046875,1374.0,1492.0,1255.0,-0.01953125,0.72265625,-0.76171875,"1,1,1,1,1,1,1"
